PL;Player Name;Team Position;7M G/S;7M Accuracy;6M G/S;6M Accuracy;9M G/S;9M Accuracy;Wing G/S;Wing Accuracy;Pivot G/S;Pivot Accuracy;Fastbreak G/S;Fastbreak Accuracy
5730;Sunnefeldt, Oskar;LEI, LB;0/0;-;2/2;100%;0/0;-;0/0;-;0/0;-;0/0;-
5731;Milosevic, Alen;LEI, P;0/0;-;0/0;-;0/1;0%;0/0;-;2/2;100%;0/0;-
5732;Jotic, Lovro;LEI, CB;0/0;-;2/3;66.67%;0/0;-;0/0;-;0/0;-;0/0;-
5733;Axmann, Dominik;HSV, LB;0/0;-;1/1;100%;1/3;33.33%;0/1;0%;0/0;-;0/0;-
5734;Forstbauer, Jan;HSV, RB;0/0;-;0/1;0%;2/5;40%;0/0;-;0/0;-;0/0;-
5735;Andersen, Frederik Bo;HSV, RW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-
5736;Remke, Gregor;LEI, RB;0/0;-;1/1;100%;0/1;0%;0/0;-;0/0;-;0/0;-
5737;Wullenweber, Finn;HSV, LB;0/0;-;0/1;0%;1/1;100%;0/0;-;0/0;-;0/0;-
5738;Spath, Manuel;HSV, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5739;Theilinger, Nicolai;HSV, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5740;Ernst, Simon;LEI, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5741;Krzikalla, Lucas;LEI, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5742;Schimmelbauer, Tobias;HSV, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5743;Gertges, Jonas;HSV, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5744;Esche, Marc;LEI, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5745;Hanemann, Hendrik;LEI, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5746;Cavor, Stefan;WET, RB;0/0;-;1/1;100%;4/8;50%;0/0;-;0/0;-;0/0;-
5747;Forsell Schefvert, Olle;WET, LB;0/0;-;2/2;100%;2/3;66.67%;0/0;-;0/0;-;0/1;0%
5748;Ehrig, Sven;THW, RW;0/0;-;0/0;-;0/0;-;2/4;50%;0/0;-;2/3;66.67%
5749;Danner, Felix;WET, P;0/0;-;0/0;-;0/0;-;0/0;-;3/3;100%;0/0;-
5750;Wiencek, Patrick;THW, P;0/0;-;0/0;-;0/0;-;0/0;-;3/3;100%;0/0;-
5751;Ekberg, Niclas;THW, RW;3/3;100%;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5752;Pekeler, Hendrik;THW, P;0/0;-;0/0;-;0/0;-;0/0;-;3/4;75%;0/0;-
5753;Mellegard, Emil;WET, LW;0/0;-;0/0;-;0/0;-;2/3;66.67%;0/0;-;1/1;100%
5754;Bilyk, Nikola;THW, LB;0/0;-;1/1;100%;2/3;66.67%;0/0;-;0/0;-;0/0;-
5755;Weinhold, Steffen;THW, RB;0/0;-;0/0;-;2/4;50%;0/0;-;0/0;-;1/1;100%
5756;Holst, Maximilian;WET, LW;2/2;100%;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5757;Landin Jacobsen, Magnus;THW, LW;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-;0/0;-
5758;Dahmke, Rune;THW, LW;0/0;-;0/0;-;0/0;-;1/2;50%;0/0;-;1/2;50%
5759;Sagosen, Sander;THW, CB;0/0;-;1/2;50%;1/2;50%;0/0;-;0/0;-;0/0;-
5760;Fredriksen, Magnus;WET, CB;0/0;-;1/2;50%;1/4;25%;0/0;-;0/0;-;0/0;-
5761;Mirkulovski, Filip;WET, CB;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-
5762;Weissgerber, Lars;WET, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%
5763;Reinkind, Harald;THW, RB;0/0;-;0/0;-;1/3;33.33%;0/0;-;0/0;-;0/0;-
5764;Nyfjall, Adam;WET, P;0/0;-;1/1;100%;0/0;-;0/0;-;0/1;0%;0/1;0%
5765;Duvnjak, Domagoj;THW, CB;0/0;-;0/0;-;1/4;25%;0/0;-;0/0;-;0/0;-
5766;Novak, Domen;WET, RW;0/0;-;0/0;-;0/0;-;1/3;33.33%;0/0;-;0/1;0%
5767;Horak, Pavel;THW, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5768;Zarabec, Miha;THW, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5769;Ciudad Benitez, Leon;THW, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5770;Klimpke, Ole;WET, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5771;Boczkowski, Leon;WET, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5772;Srsen, Ivan;WET, RB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
5773;Rubin, Lenny;WET, LB;0/0;-;0/0;-;0/11;0%;0/0;-;0/0;-;0/0;-
5774;Mortensen, Casper Ulrich;HSV, LW;5/5;100%;1/1;100%;0/1;0%;2/2;100%;0/0;-;1/2;50%
5775;Knorr, Juri;RNL, CB;3/4;75%;4/4;100%;1/3;33.33%;0/0;-;0/0;-;0/0;-
5776;Weller, Niklas;HSV, P;0/0;-;0/0;-;0/0;-;0/0;-;5/5;100%;0/0;-
5777;Tissier, Leif;HSV, CB;0/0;-;4/5;80%;0/1;0%;0/0;-;0/0;-;1/1;100%
5778;Forstbauer, Jan;HSV, RB;0/0;-;5/7;71.43%;0/3;0%;0/0;-;0/0;-;0/0;-
5779;Axmann, Dominik;HSV, LB;0/0;-;3/3;100%;0/0;-;0/0;-;0/0;-;0/0;-
5780;Helander, Benjamin;RNL, LW;0/0;-;1/1;100%;0/0;-;1/1;100%;0/0;-;1/1;100%
5781;Andersen, Frederik Bo;HSV, RW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;2/2;100%
5782;Lagergren, Albin;RNL, RB;0/0;-;3/4;75%;0/0;-;0/0;-;0/0;-;0/0;-
5783;Zacharias, Lion;RNL, LW;0/0;-;0/0;-;0/0;-;2/3;66.67%;0/0;-;1/1;100%
5784;Nilsson, Lukas;RNL, LB;0/0;-;2/3;66.67%;1/3;33.33%;0/0;-;0/0;-;0/0;-
5785;Kohlbacher, Jannik;RNL, P;0/0;-;0/0;-;0/0;-;0/0;-;2/3;66.67%;0/0;-
5786;Schmid, Andre;RNL, CB;1/1;100%;1/2;50%;0/0;-;0/0;-;0/0;-;0/1;0%
5787;Bauer, Philipp;HSV, CB;0/0;-;2/3;66.67%;0/1;0%;0/0;-;0/0;-;0/0;-
5788;Vest Kirkelokke, Niclas;RNL, RB;0/0;-;1/1;100%;1/4;25%;0/0;-;0/0;-;0/0;-
5789;Schimmelbauer, Tobias;HSV, LW;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
5790;Valiullin, Azat;HSV, LB;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-
5791;Gislason, Ymir Orn;RNL, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%
5792;Groetzki, Patrick;RNL, RW;0/0;-;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-
5793;Spath, Manuel;HSV, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5794;Theilinger, Nicolai;HSV, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5795;Wullenweber, Finn;HSV, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5796;Abutovic, Ilija;RNL, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5797;Horzen, Kristjan;RNL, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5798;Patrail, Mait;RNL, LB;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-;0/0;-
5799;Schiller, Marcel;FAG, LW;4/4;100%;0/0;-;0/0;-;1/3;33.33%;0/0;-;1/2;50%
5800;Kuhn, Julius;MTM, LB;1/2;50%;1/3;33.33%;4/10;40%;0/0;-;0/0;-;0/0;-
5801;Zelenovic, Nemanja;FAG, RB;0/0;-;1/2;50%;4/7;57.14%;0/0;-;0/0;-;0/0;-
5802;Hafner, Kai;MTM, RB;0/0;-;4/9;44.44%;1/3;33.33%;0/0;-;0/0;-;0/0;-
5803;Jonsson, Elvar Orn;MTM, CB;0/0;-;1/3;33.33%;2/2;100%;0/0;-;1/1;100%;0/0;-
5804;Ellebaek, Tobias;FAG, LB;0/0;-;3/4;75%;1/3;33.33%;0/0;-;0/0;-;0/0;-
5805;Petersson, Alexander;MTM, RB;0/0;-;1/1;100%;0/0;-;1/1;100%;1/1;100%;0/0;-
5806;Hermann, Till;FAG, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;3/3;100%
5807;Maric, Marino;MTM, P;0/0;-;0/0;-;0/0;-;0/0;-;3/4;75%;0/0;-
5808;Fuchs, Julian;MTM, RW;1/1;100%;0/0;-;0/0;-;0/1;0%;0/0;-;1/1;100%
5809;Kozina, Kresimir;FAG, P;0/0;-;0/0;-;0/0;-;0/1;0%;2/5;40%;0/0;-
5810;Bagersted, Jacob;FAG, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
5811;Kalarash, Gleb;MTM, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
5812;Sarac, Josip;FAG, LB;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-
5813;Gulliksen, Kevin Maageroe;FAG, RW;0/0;-;1/1;100%;0/0;-;0/1;0%;0/0;-;0/0;-
5814;Lindenchrone Andersen, Jon;FAG, RB;0/0;-;1/1;100%;0/1;0%;0/0;-;0/0;-;0/0;-
5815;Kneule, Tim;FAG, CB;0/0;-;0/2;0%;1/3;33.33%;0/0;-;0/0;-;0/0;-
5816;Smarason, Janus Dadi;FAG, CB;0/0;-;1/1;100%;0/4;0%;0/0;-;0/0;-;0/0;-
5817;Allendorf, Michael;MTM, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5818;Arnarsson, Arnar Freyr;MTM, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5819;Pavlovic, Domagoj;MTM, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5820;Goller, Axel;FAG, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5821;Kompenhans, Paul;MTM, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5822;Kuntscher, David;MTM, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5823;Sahin, Rohat;MTM, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5824;Kunkel, Yves;MTM, LW;0/2;0%;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
5825;Elisson, Bjarki Mar;TBV, LW;3/5;60%;0/0;-;0/0;-;2/4;50%;0/0;-;2/3;66.67%
5826;Krzikalla, Lucas;LEI, RW;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-;3/3;100%
5827;Cederholm, Andreas;TBV, RB;0/0;-;3/3;100%;2/5;40%;0/0;-;0/0;-;0/0;-
5828;Ivic, Sime;LEI, RB;1/1;100%;2/3;66.67%;1/3;33.33%;0/0;-;1/1;100%;0/0;-
5829;Jotic, Lovro;LEI, CB;0/0;-;2/2;100%;2/2;100%;0/0;-;0/0;-;0/0;-
5830;Guardiola Villaplana, Isaias;TBV, RB;0/0;-;1/2;50%;2/3;66.67%;0/0;-;0/0;-;1/1;100%
5831;Carlsbogard, Jonathan;TBV, LB;0/0;-;2/3;66.67%;2/5;40%;0/0;-;0/0;-;0/0;-
5832;Simak, Frederik;TBV, LB;0/0;-;1/1;100%;0/0;-;0/0;-;2/4;50%;0/0;-
5833;Gebala, Maciej;LEI, P;0/0;-;0/0;-;0/0;-;0/0;-;3/6;50%;0/0;-
5834;Witzke, Luca;LEI, CB;0/0;-;1/4;25%;2/2;100%;0/0;-;0/0;-;0/0;-
5835;Milosevic, Alen;LEI, P;0/0;-;0/1;0%;0/0;-;0/0;-;2/2;100%;0/0;-
5836;Sunnefeldt, Oskar;LEI, LB;0/0;-;1/1;100%;0/1;0%;0/0;-;0/0;-;1/1;100%
5837;Mamic, Marko;LEI, LB;0/0;-;0/1;0%;2/3;66.67%;0/0;-;0/0;-;0/0;-
5838;Zerbe, Lukas;TBV, RW;0/1;0%;0/1;0%;0/0;-;2/2;100%;0/0;-;0/0;-
5839;Ernst, Simon;LEI, CB;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
5840;Remke, Gregor;LEI, RB;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-
5841;Binder, Lukas;LEI, LW;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-;1/2;50%
5842;Schagen, Bobby;TBV, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5843;Larsen, Patrick Wiesmach;LEI, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5844;Esche, Marc;LEI, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5845;Reitemann, Michel;TBV, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5846;Schwarzer, Kian;TBV, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5847;Hanemann, Hendrik;LEI, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5848;Guardiola Villaplana, Gedeon;TBV, P;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-
5849;Suton, Tim;TBV, CB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
5850;Hutecek, Lukas;TBV, LB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
5851;Blaauw, Niko;TBV, CB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
5852;Jeppsson, Simon;HCE, LB;3/3;100%;1/1;100%;3/6;50%;0/0;-;0/0;-;0/0;-
5853;Arnesson, Linus;BHC, LB;1/1;100%;1/1;100%;1/2;50%;0/0;-;0/0;-;0/0;-
5854;Metzner, Antonio;HCE, RB;0/0;-;2/6;33.33%;3/3;100%;0/0;-;0/0;-;0/0;-
5855;Olsson, Hampus;HCE, RW;1/1;100%;0/0;-;0/0;-;1/1;100%;2/2;100%;0/0;-
5856;Fraatz, Yannick;BHC, RW;0/0;-;0/0;-;0/0;-;4/4;100%;0/0;-;0/0;-
5857;Weck, Alexander;BHC, LB;0/0;-;1/2;50%;3/5;60%;0/0;-;0/0;-;0/0;-
5858;Schmidt, David;BHC, RB;0/0;-;3/4;75%;1/4;25%;0/0;-;0/0;-;0/0;-
5859;Fath, Steffen;HCE, LB;0/0;-;3/3;100%;0/0;-;0/0;-;0/0;-;0/0;-
5860;Budel, Nico;HCE, CB;0/0;-;2/2;100%;0/0;-;0/0;-;0/0;-;1/1;100%
5861;Firnhaber, Sebastian;HCE, P;0/0;-;0/0;-;0/0;-;0/0;-;2/2;100%;1/1;100%
5862;Bissel, Christopher;HCE, LW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;2/3;66.67%
5863;Bergner, Tom;BHC, P;0/0;-;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-
5864;Zechel, Tim;HCE, P;0/0;-;0/0;-;0/0;-;0/0;-;2/3;66.67%;0/0;-
5865;Boomhouwer, Jeffrey;BHC, LW;0/0;-;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-
5866;Schonningsen, Simen Nicolay;BHC, RB;0/0;-;1/3;33.33%;0/0;-;0/0;-;0/0;-;0/0;-
5867;Stutzke, Lukas;BHC, LB;0/0;-;0/0;-;1/4;25%;0/0;-;0/0;-;0/0;-
5868;Babak, Tomas;BHC, CB;0/0;-;0/1;0%;1/3;33.33%;0/0;-;0/0;-;0/0;-
5869;Link, Nikolai;HCE, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5870;Darj, Max;BHC, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5871;Hansson, Emil;BHC, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5872;Jaeger, Max;HCE, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5873;Leban, Patrik;HCE, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5874;Marschall, Tarek;HCE, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5875;Schmitz, Tobias;BHC, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5876;Sellin, Johannes;HCE, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%
5877;Gunnarsson, Arnor Thor;BHC, RW;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-
5878;Seitz, Stephan;HCE, RB;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-;0/0;-
5879;Kristjansson, Viggo;TVB, RB;4/5;80%;3/3;100%;3/3;100%;0/0;-;0/0;-;0/0;-
5880;Nothdurft, Tim;HBW, LW;0/0;-;0/0;-;0/0;-;3/3;100%;0/0;-;3/4;75%
5881;Zieker, Patrick;TVB, LW;0/0;-;0/0;-;0/0;-;3/4;75%;0/1;0%;2/3;66.67%
5882;Muller, Jerome;TVB, RB;0/0;-;1/2;50%;3/8;37.5%;0/0;-;0/0;-;1/1;100%
5883;Saueressig, Lukas;HBW, CB;0/0;-;2/2;100%;2/2;100%;0/0;-;0/0;-;0/0;-
5884;Zintel, Bjorn;HBW, CB;0/0;-;3/3;100%;0/1;0%;0/0;-;0/0;-;1/1;100%
5885;Schoch, Jona;HBW, LB;0/0;-;1/1;100%;2/5;40%;0/0;-;0/0;-;0/0;-
5886;Lipovina, Vladan;HBW, RB;0/2;0%;2/2;100%;1/5;20%;0/0;-;0/0;-;0/0;-
5887;Peshevski, Zarko;TVB, P;0/0;-;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-
5888;Strosack, Moritz;HBW, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;2/2;100%
5889;Hanusz, Egon;TVB, CB;0/0;-;2/2;100%;0/1;0%;0/0;-;0/0;-;0/0;-
5890;Scott Junior, James;HBW, LB;0/0;-;0/0;-;2/4;50%;0/0;-;0/0;-;0/0;-
5891;Pfattheicher, Sascha;TVB, RW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-
5892;Schulze, Alexander;TVB, LW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-
5893;Nicolaus, Fynn-Luca;TVB, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
5894;Augustinussen, Sebastian;TVB, RW;0/0;-;1/1;100%;0/0;-;0/1;0%;0/0;-;0/0;-
5895;Heinzelmann, Tobias;HBW, P;0/0;-;0/0;-;0/0;-;0/0;-;1/2;50%;0/0;-
5896;Thomann, Gregor;HBW, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5897;Lonn, Adam;TVB, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5898;Hafner, Max;TVB, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5899;Beciri, Kristian;HBW, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5900;Ingason, Daniel Thor;HBW, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5901;Volz, Patrick;HBW, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5902;Runarsson, Andri Mar;TVB, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5903;Wente, Till;HBW, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5904;Todorovic, Uros;HBW, RB;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-;0/0;-
5905;Weiss, Dominik;TVB, LB;0/0;-;0/0;-;0/2;0%;0/0;-;0/0;-;0/0;-
5906;Novak, Domen;WET, RW;0/0;-;0/0;-;0/0;-;4/5;80%;0/0;-;2/2;100%
5907;Kristjansson, Gisli Thorgeir;SCM, CB;0/0;-;6/9;66.67%;0/0;-;0/0;-;0/0;-;0/0;-
5908;Magnusson, Omar Ingi;SCM, RB;1/3;33.33%;3/5;60%;2/2;100%;0/0;-;0/0;-;0/0;-
5909;Nyfjall, Adam;WET, P;0/0;-;0/0;-;0/0;-;0/0;-;5/6;83.33%;0/0;-
5910;Hornke, Tim;SCM, RW;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-;2/2;100%
5911;Kirsten Evert Smits, Kay;SCM, RB;3/3;100%;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-
5912;Fredriksen, Magnus;WET, CB;0/0;-;2/2;100%;1/2;50%;0/0;-;0/0;-;1/1;100%
5913;Mertens, Lukas;SCM, LW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;2/3;66.67%
5914;Jensen, Magnus Saugstrup;SCM, P;0/0;-;0/0;-;0/0;-;0/0;-;3/5;60%;0/0;-
5915;Cavor, Stefan;WET, RB;0/0;-;1/3;33.33%;2/4;50%;0/0;-;0/0;-;0/0;-
5916;Forsell Schefvert, Olle;WET, LB;0/0;-;2/3;66.67%;1/3;33.33%;0/0;-;0/1;0%;0/0;-
5917;Mirkulovski, Filip;WET, CB;0/0;-;2/2;100%;0/0;-;0/0;-;0/0;-;0/0;-
5918;Holst, Maximilian;WET, LW;2/3;66.67%;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5919;Bezjak, Marko;SCM, CB;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-;0/0;-
5920;O'Sullivan, Christian;SCM, CB;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-;1/1;100%
5921;Mellegard, Emil;WET, LW;0/0;-;0/0;-;0/1;0%;0/0;-;1/1;100%;0/0;-
5922;Gullerud, Magnus;SCM, P;0/0;-;0/0;-;0/0;-;0/0;-;1/2;50%;0/0;-
5923;Musche, Matthias;SCM, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5924;Pettersson, Daniel;SCM, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5925;Chrapkowski, Piotr;SCM, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5926;Srsen, Ivan;WET, RB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5927;Klimpke, Ole;WET, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5928;Boczkowski, Leon;WET, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5929;Danner, Felix;WET, P;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-
5930;Weber, Philipp;SCM, CB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
5931;Damgaard Nielsen, Michael;SCM, LB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
5932;Wanne, Hampus;SGF, LW;5/5;100%;0/0;-;0/0;-;1/3;33.33%;0/0;-;6/6;100%
5933;Baumgartner, Florian;NLB, RB;0/0;-;0/1;0%;5/11;45.45%;1/2;50%;0/0;-;0/0;-
5934;Gottfridsson, Jim;SGF, CB;0/0;-;4/4;100%;0/0;-;0/0;-;0/0;-;0/0;-
5935;Petrovsky, Leos;NLB, P;0/0;-;0/0;-;0/0;-;0/0;-;4/4;100%;0/0;-
5936;Sogard, Goran;SGF, LB;0/0;-;2/2;100%;2/2;100%;0/0;-;0/0;-;0/0;-
5937;Svan, Lasse Hansen;SGF, RW;0/0;-;1/1;100%;0/0;-;3/5;60%;0/0;-;0/0;-
5938;Heiny, Lutz;NLB, LB;0/0;-;1/3;33.33%;3/8;37.5%;0/0;-;0/0;-;0/0;-
5939;Skroblien, Tom;NLB, LW;2/2;100%;0/1;0%;0/0;-;0/0;-;0/0;-;0/0;-
5940;Strosack, Peter;NLB, RW;0/0;-;0/0;-;0/0;-;1/1;100%;1/1;100%;0/1;0%
5941;Golla, Johannes;SGF, P;0/0;-;1/1;100%;0/0;-;0/0;-;1/1;100%;0/1;0%
5942;Einarsson, Teitur Orn;SGF, RB;0/0;-;1/2;50%;1/2;50%;0/0;-;0/0;-;0/0;-
5943;Lindskog, Anton;SGF, P;0/0;-;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-
5944;Finn-Jannes, Gernus;NLB, LW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-
5945;Steinhauser, Marius;SGF, RW;0/0;-;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-
5946;Drager, Yannick;NLB, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5947;Hald Jensen, Simon;SGF, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5948;Mrakovcic, Luka;NLB, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5949;Mundus, Marvin;NLB, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
5950;Larsen, Mads Mensah;SGF, CB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
5951;Jakobsen, Emil;SGF, LW;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-
5952;Nissen, Marek;NLB, LB;0/0;-;0/1;0%;0/2;0%;0/0;-;0/0;-;0/0;-
5953;Petreikis, Benas;NLB, CB;0/0;-;0/1;0%;0/4;0%;0/1;0%;0/0;-;0/0;-
5954;Lindberg, Hans;BER, RW;8/8;100%;0/0;-;0/0;-;3/3;100%;0/0;-;0/0;-
5955;Hansen, Johan a Plogv;HAN, RW;4/4;100%;0/0;-;0/0;-;5/5;100%;0/0;-;0/0;-
5956;Kuzmanovski, Filip;HAN, LB;0/0;-;0/0;-;3/4;75%;1/1;100%;0/0;-;3/3;100%
5957;Brozovic, Ilija;HAN, P;0/0;-;0/0;-;0/0;-;0/0;-;5/6;83.33%;0/0;-
5958;Vujovic, Milos;BER, LW;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-;2/2;100%
5959;Cehte, Nejc;HAN, RB;0/0;-;0/1;0%;3/5;60%;0/0;-;1/1;100%;0/0;-
5960;Marsenic, Mijajlo;BER, P;0/0;-;1/1;100%;0/0;-;0/0;-;2/2;100%;0/0;-
5961;Wiede, Fabian;BER, RB;0/0;-;3/5;60%;0/0;-;0/0;-;0/0;-;0/0;-
5962;Drux, Paul;BER, LB;0/0;-;3/5;60%;0/0;-;0/0;-;0/0;-;0/0;-
5963;Holm, Jacob Tandrup;BER, CB;0/0;-;3/3;100%;0/2;0%;0/0;-;0/0;-;0/0;-
5964;Andersson, Lasse Bredekjaer;BER, LB;0/0;-;3/5;60%;0/2;0%;0/0;-;0/0;-;0/0;-
5965;Pevnov, Evgeni;HAN, P;0/0;-;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-
5966;Feise, Hannes;HAN, LW;0/0;-;0/1;0%;0/0;-;2/2;100%;0/0;-;0/0;-
5967;Mavers, Veit;HAN, CB;0/0;-;2/2;100%;0/2;0%;0/0;-;0/0;-;0/0;-
