7MSHOT;7MACC;6MSHOT;6MACC;9MSHOT;9MACC;WINGSHOT;WINGACC;PIVOTSHOT;PIVOTACC;FASTBREAKSHOT;FASTBREAKACC;SHOT;GOAL
3;1;0;0;0;0;0;0;0;0;0;0;3;3
0;0;0;0;0;0;1;1;0;0;1;1;2;2
0;0;0;0;0;0;5;0.8;0;0;1;1;6;5
0;0;0;0;0;0;1;1;0;0;0;0;1;1
0;0;0;0;0;0;3;1;0;0;0;0;3;3
0;0;0;0;0;0;2;0.5;0;0;2;0.5;4;2
0;0;0;0;0;0;1;1;0;0;1;0;2;1
3;1;0;0;1;1;0;0;0;0;3;1;7;7
0;0;0;0;0;0;1;1;0;0;1;1;2;2
4;0.75;0;0;0;0;2;0;0;0;1;1;7;4
0;0;0;0;0;0;1;1;1;1;0;0;2;2
0;0;0;0;0;0;1;0;1;0;2;1;4;2
0;0;0;0;0;0;4;1;0;0;2;1;6;6
0;0;0;0;0;0;2;1;0;0;1;0;3;2
0;0;1;1;0;0;0;0;0;0;0;0;1;1
0;0;0;0;0;0;1;0;0;0;0;0;1;0
2;1;0;0;0;0;1;1;0;0;3;1;6;6
0;0;1;1;0;0;4;0.5;0;0;0;0;5;3
0;0;0;0;0;0;1;1;0;0;0;0;1;1
0;0;3;0.67;0;0;5;0.6;1;1;2;1;11;8
4;1;0;0;0;0;0;0;1;1;0;0;5;5
0;0;0;0;0;0;2;1;0;0;0;0;2;2
4;0.75;0;0;0;0;7;0.86;0;0;0;0;11;9
0;0;0;0;0;0;1;0;0;0;0;0;1;0
0;0;0;0;0;0;0;0;1;0;2;0;3;0
4;1;0;0;0;0;3;1;0;0;1;1;8;8
1;1;0;0;0;0;3;1;0;0;1;1;5;5
0;0;0;0;0;0;2;0.5;0;0;1;1;3;2
1;0;0;0;0;0;1;0;0;0;1;1;3;1
5;1;1;0;2;0.5;3;0.67;0;0;1;1;12;9
0;0;1;0;0;0;3;1;1;1;0;0;5;4
0;0;0;0;0;0;2;0.5;0;0;0;0;2;1
0;0;1;0;0;0;0;0;0;0;0;0;1;0
5;0.8;0;0;1;0;3;0.33;0;0;2;0;11;5
0;0;0;0;0;0;2;0.5;1;1;0;0;3;2
0;0;0;0;0;0;1;1;0;0;0;0;1;1
0;0;0;0;0;0;1;0;0;0;1;1;2;1
3;1;0;0;0;0;5;0.4;0;0;0;0;8;5
0;0;1;1;0;0;2;0.5;1;1;1;0;5;3
0;0;0;0;0;0;1;0;0;0;0;0;1;0
1;0;0;0;0;0;3;1;0;0;1;0;5;3
0;0;0;0;0;0;5;0.4;0;0;1;1;6;3
0;0;0;0;0;0;1;0;0;0;0;0;1;0
0;0;0;0;0;0;3;0.67;0;0;1;1;4;3
0;0;0;0;0;0;4;0.25;0;0;3;0.67;7;3
0;0;0;0;0;0;1;0;0;0;0;0;1;0
3;1;0;0;0;0;0;0;0;0;0;0;3;3
0;0;0;0;0;0;0;0;0;0;2;1;2;2
0;0;0;0;0;0;2;1;0;0;0;0;2;2
0;0;0;0;0;0;1;1;1;0;0;0;2;1
0;0;0;0;0;0;3;0.67;0;0;0;0;3;2
0;0;2;1;0;0;0;0;0;0;1;1;3;3
0;0;0;0;0;0;3;1;0;0;0;0;3;3
0;0;0;0;0;0;1;1;0;0;0;0;1;1
0;0;2;0;0;0;0;0;0;0;1;1;3;1
0;0;0;0;0;0;3;0.33;0;0;1;1;4;2
0;0;0;0;0;0;2;0;0;0;2;1;4;2
2;1;0;0;0;0;3;0.67;1;1;0;0;6;5
0;0;0;0;0;0;3;0.33;0;0;3;0.67;6;3
0;0;0;0;0;0;1;1;0;0;1;1;2;2
2;1;0;0;0;0;3;1;1;1;0;0;6;6
0;0;0;0;0;0;2;1;1;1;0;0;3;3
0;0;0;0;0;0;1;0;0;0;0;0;1;0
6;1;0;0;0;0;1;1;0;0;0;0;7;7
0;0;0;0;0;0;1;0;0;0;4;0.75;5;3
0;0;0;0;1;0;1;1;0;0;1;1;3;2
3;1;0;0;1;1;3;0.33;1;1;0;0;8;6
0;0;0;0;0;0;2;0.5;0;0;3;1;5;4
0;0;0;0;0;0;0;0;0;0;2;1;2;2
